 Relacao de equivalencia: 
  
           1 #   0.0000000000000000     
           2 #   4.1340678232333228E-002
           3 #   2.7677852268968239E-002
           4 #   2.0790642952763339E-002
           5 #   1.6644526922141800E-002
           6 #   1.3875984476852565E-002
           7 #   1.1897423867559098E-002
           8 #   1.0411205636502885E-002
           9 #   9.2560449296854586E-003
          10 #   8.3292760909117192E-003
          11 #   7.5734415310648728E-003
          12 #   6.9425424726858864E-003
          13 #   6.4093491980443673E-003
          14 #   5.9499241817491111E-003
          15 #   5.5534942279855670E-003
          16 #   5.2075201079659905E-003
          17 #   4.9011557950322526E-003
          18 #   4.6293451989498635E-003
          19 #   4.3863983005678620E-003
          20 #   4.1656281764090863E-003
          21 #   3.9644620865999514E-003
          22 #   3.7842611430960460E-003
          23 #   3.6263872907369432E-003
          24 #   3.4713943160014082E-003
          25 #   3.3354528811031514E-003
          26 #   3.2046909665695011E-003
          27 #   3.0870423935454028E-003
          28 #   2.9750400536272537E-003
          29 #   2.8793239039970331E-003
          30 #   2.7799214275177064E-003
