           1   2.3021700574175075E-003
           2   6.7609477252483785E-005
           3   4.3017053736882360E-006
           4   2.7004251079709718E-007
           5   4.3266257243601558E-010
           6   2.7046365147498364E-011
           7   1.6409096303959814E-013
           8   3.1197266991966899E-013
           9   1.7603696278456482E-012
          10   2.8022029141538951E-013
          11   3.5246916496589620E-011
          12   3.5247138541194545E-011
          13   1.1278267209036130E-010
          14   3.1199027583639349E-008
