           1   1.2554077014477194E-003
           2   2.8758809087148229E-005
           3   1.7671297616872472E-006
           4   1.0997220240005490E-007
           5   1.8158868853035415E-010
           6   4.4291126322093533E-011
           7   3.2258701265774903E-010
           8   8.0238038435709313E-012
           9   5.9441963129458486E-008
          10   1.3182670399736196E-008
          11   3.4770785072302246E-006
          12   3.4024472931015737E-004
          13   4.9782176759283758E-002
          14   6.4742727459235221     
