 N  h  Regra do trapézio Regra de Simpson   Regra de Bode
           4  0.25000000000000000        3.4790298158128563E-003   2.1620669515228036E-002   1.9652896469657399E-006
           8  0.12500000000000000        8.6816335433848035E-004   1.0795238966149867E-002   1.0407202335002697E-003
          16   6.2500000000000000E-002   2.1694152158899249E-004   5.3966891726592581E-003   5.2327052041314936E-004
          32   3.1250000000000000E-002   5.4229177977899168E-005   2.6982866448917731E-003   2.6091679654347000E-004
          64   1.5625000000000000E-002   1.3556906919620637E-005   1.3491397042660891E-003   1.3027621155650704E-004
         128   7.8125000000000000E-003   3.3892025076420751E-006   6.7456962604597881E-004   6.5092744516659362E-005
         256   3.9062500000000000E-003   8.4729911312142470E-007   3.3728479889336138E-004   3.2535055684984604E-005
         512   1.9531250000000000E-003   2.1182468351588213E-007   1.6864239856353991E-004   1.6264701654084002E-005
        1024   9.7656250000000000E-004   5.2956165147444167E-008   8.4321199226744525E-005   8.1316446486623395E-006
        2048   4.8828125000000000E-004   1.3239040863588514E-008   4.2160599610041594E-005   4.0656458259735739E-006
        4096   2.4414062500000000E-004   3.3097603269194309E-009   2.1080299804215885E-005   2.0327787934593111E-006
