h# derivada simetrica 2 pontos# derivada para frente 2 pontos# derivada para tras 2 pontos# derivada simetrica 5 pontos# derivada segunda simetrica 5 pontos# derivada terceira anti-simetrica de 5 pontos
 0.50000000000000000      #   3.5198338363475301E-002 #   4.7595197925625943E-002 #  0.11799187465257632      #   2.3021700574175075E-003 #   1.2554077014477194E-003 #   7.1002291230693793E-002
 0.20000000000000001      #   5.5439597995790013E-003 #   3.0666887071258309E-002 #   4.1754806670416089E-002 #   6.7609477252483785E-005 #   2.8758809087148229E-005 #   1.2725480654010024E-002
 0.10000000000000001      #   1.3827636708647617E-003 #   1.6945255063818720E-002 #   1.9710782405548244E-002 #   4.3017053736882360E-006 #   1.7671297616872472E-006 #   3.2293148722073450E-003
  5.0000000000000003E-002 #   3.4548838583292607E-004 #   8.8463764656214749E-003 #   9.5373532372873271E-003 #   2.7004251079709718E-007 #   1.0997220240005490E-007 #   8.1031715473911525E-004
  1.0000000000000000E-002 #   1.3816940031663449E-005 #   1.8263393038280284E-003 #   1.8539731838913553E-003 #   4.3266257243601558E-010 #   1.8158868853035415E-010 #   3.2450778982950901E-005
  5.0000000000000001E-003 #   3.4542147204774665E-006 #   9.1665177285804589E-004 #   9.2356020229900082E-004 #   2.7046365147498364E-011 #   4.4291126322093533E-011 #   8.1131359709329942E-006
  1.0000000000000000E-003 #   1.3816823862811134E-007 #   1.8388481272602064E-004 #   1.8416114920327686E-004 #   1.6409096303959814E-013 #   3.2258701265774903E-010 #   7.2704423281777508E-007
  5.0000000000000001E-004 #   3.4541908888741091E-008 #   9.1976976717589309E-005 #   9.2046060535366792E-005 #   3.1197266991966899E-013 #   8.0238038435709313E-012 #   1.6113418688235015E-007
  1.0000000000000000E-004 #   1.3828778122615404E-009 #   1.8400921247163637E-005 #   1.8403687002788160E-005 #   1.7603696278456482E-012 #   5.9441963129458486E-008 #   3.3944529051244121E-004
  5.0000000000000002E-005 #   3.4592950726164418E-010 #   9.2008072432037125E-006 #   9.2014991022182357E-006 #   2.8022029141538951E-013 #   1.3182670399736196E-008 #   5.4873312918768402E-004
  1.0000000000000001E-005 #   9.3418606184059172E-012 #   1.8402373118675541E-006 #   1.8402186281463173E-006 #   3.5246916496589620E-011 #   3.4770785072302246E-006 #  0.50325771867945823
  9.9999999999999995E-007 #   1.7603696278456482E-012 #   1.8396219481076059E-007 #   1.8396571555001628E-007 #   3.5247138541194545E-011 #   3.4024472931015737E-004 #  0.82900991087072917
  9.9999999999999995E-008 #   1.1278267209036130E-010 #   1.7650785721912143E-008 #   1.7876351066092866E-008 #   1.1278267209036130E-010 #   4.9782176759283758E-002 #  0.82900991087072917
  1.0000000000000000E-008 #   2.0096797115343179E-008 #   3.1199027361594744E-008 #   8.9945668690916136E-009 #   3.1199027583639349E-008 #   6.4742727459235221      #   444089210.67907244
