 Variacao de Sm para valores de magnitude
 S_m #  M # 
   15.599145086561631      #          10  
   4.4702043882497478      #         100  
   1.5023127220466526      #        1000  
  0.47775462690000353      #       10000  
  0.15080731222677329      #      100000  
